//基佬们的奇妙之旅翻译测试第一次
"Console_T"
{
		"** CURRENT LEVEL: BEN SEA **"
		{
		"chi"               "难度：初识击剑 汉化：龙鸣"
		}
		"** HOLD! THE ASS MIGHT BE DOWN BUT WE'RE NOT DONE YET! **"
		{
		"chi"               " **哦不！大皮炎子被我们社保啦！**"
		}
		"** Sitting in front of an angry chicken makes the road move **"
		{
		"chi"               " ** 让我们穿过充满哲学的书籍 **"
		}
		"** From light to light there's a wooden door that might slip in time: wait. **"
		{
		"chi"               " ** 秘密小鸡房间即将开放 快回去社保僵尸 **"
		}
		"** COCKADODADOOO! **"
		{
		"chi"               " ** 妈咪妈咪哄 快开门！ **"
		}
		"** Upon leaving the wasteland by the buildingvator you might find dictators... **"
		{
		"chi"               " ** 小心电梯下降时被鬼脸吓死 **"
		}
		"** ... **"
		{
		"chi"               " ** ... **"
		}
		"** The buildingvator will be leaving like a broken winter rose in a few seconds. **"
		{
		"chi"               " ** 电梯要开啦 赶不上就跟僵尸一起贴贴吧 **"
		}
		"** Who are those in the mirror: them? us? both? **"
		{
		"chi"               " ** 镜中世界里的人是我们嘛？还是不是呢？ **"
		}
		"** Time is -like ketchup- a non newtonian fluid. **"
		{
		"chi"               " ** 时间流逝过慢 我们得守一会 **"
		}
		"** GERARD SCHROEDER! What could be the solution? **"
		{
		"chi"               " ** 哦 天呐！这门怎么慢？ **"
		}
		"** CAE-6 | APPD ON a-zA-Z IGNORE 0-9 **"
		{
		"chi"               " ** 啊~为什么身体逐渐发烫呢~ **"
		}
		"** Znk juux corr uvkt ot g hoz - cgoz! **"
		{
		"chi"               " ** 啊~我好嗨啊~ **"
		}
		"** 	Payz 5 sgxbkrruay igkygxkgt ykiutjy! **"
		{
		"chi"               " ** 	啊~我真是嗨到不行了~ 这门怎么还没开 **"
		}
		"** Starting over in a twisted world - I'm quite sure this could be a song... **"
		{
		"chi"               " ** 这个世界到底是哪呢 感觉怪怪的 **"
		}
		"** The rhyme is bothersome for what I know but I'll tell you: you need to hold **"
		{
		"chi"               " ** 还得坚持一会 我们还没找到门呢 **"
		}
		"** I'm sure something will move soon: get ready to move along! **"
		{
		"chi"               " ** 哦 找到门了 即将开启奇妙的旅程！ **"
		}
		"** Endless ports of nevertime and endless instants of nowhere... **"
		{
		"chi"               " ** 等一会 这门有点紧... **"
		}
		"** And endless thoughts of nothing real - shades of memories long gone... **"
		{
		"chi"               " ** 门快开了 准备进入另一个旅程 **"
		}
		"** Saturn devouring his children is often criticised but... what would you do? **"
		{
		"chi"               " ** 这里风景蛮不错的...你觉得呢？ **"
		}
		"** As him -the Divine- often put eloquently the greatest form of love is cannibalism. **"
		{
		"chi"               " ** 哦不！我们好像走进死路了 是不是指挥带灵车呢？  **"
		}
		"** Charcoal seas of endless rain... Washed faces. Lights. Fog. Wind. **"
		{
		"chi"               "** 快进来 墙被凿开了 **"
		}
		"** The crisp bones and tender nerves. The beating hums of an everloving heart. **"
		{
		"chi"               " ** 别慌 先守一会 总会有办法的 **"
		}
		"** Oedipus awaits in the empty halls of his voracious dreams. **"
		{
		"chi"               " ** 咦？好像找到路了 先守一会 **"
		}
		"** In the canyons of your mind I will wander through your brain... **"
		{
		"chi"               " ** 嗯...我们好像又被困住了 **"
		}
		"** Seeing the shoreline of your thoughts always sparkling far away... **"
		{
		"chi"               " ** 别急 这个港口应该有空闲的船只 **"
		}
		"** And yet no boat to ever carry us to eachother's unknown end. **"
		{
		"chi"               " ** 好消息是我们发现了一条船 坏消息是需要加油... **"
		}
		"** GET GOING! I don't know what's going on but there's a boat! **"
		{
		"chi"               " ** 船加满油啦 准备起航啦！ **"
		}
		"** Honeymoon rats! A low-cost jesuit-based quantum-mechanical not-really boat is coming! Hop it! **"
		{
		"chi"               " ** 船加满油啦 准备起航啦！ **"
		}
		"** You're asking a map and you're a map and yourself and all that... What answer do you expect? **"
		{
		"chi"               " ** 好消息是我们发现了一条船 坏消息是需要加油... **"
		}
		"** What does that even mean? I mean... Ain't ya trying to appear all deep and stuff? **"
		{
		"chi"               " ** 别急 这个港口应该有空闲的船只 **"
		}
		"** The praries of pungent blue are soaked in horrendous puns... **"
		{
		"chi"               " ** 嗯...我们好像又被困住了 **"
		}
		"** In the graveyard where days lie hours seem distant and far away... **"
		{
		"chi"               " ** 为什么公园后面会有通风管道？ **"
		}
		"** When the eyes are closed and bound to deep sleep... who will wake them up to see? **"
		{
		"chi"               " ** 嗯...看样子有点难开 **"
		}
		"** Journeys across the stars and amidst purple shades of voices turnt to dust... **"
		{
